category,top_keys
政治,"[('台灣', 280), ('立委', 139), ('中國', 115), ('國民黨', 93), ('政府', 92), ('民進黨', 89), ('產業', 78), ('政治', 77), ('花蓮', 71), ('國家', 70), ('民眾', 64), ('美國', 61), ('活動', 60), ('關稅', 60), ('議員', 55), ('連署書', 54), ('蔣萬安', 52), ('團隊', 51), ('國際', 51), ('市府', 50), ('社會', 48), ('中央', 46), ('黨團', 44), ('議題', 42), ('移民署', 42), ('立法院', 42), ('記者', 40), ('民主', 40), ('預算', 39), ('總統', 39), ('公民', 39), ('人民', 39), ('賴清德', 37), ('行政', 37), ('階段', 37), ('市長', 36), ('人員', 36), ('團體', 36), ('地方', 35), ('報告', 35), ('志工', 35), ('言論', 34), ('問題', 33), ('法律', 33), ('台北', 33), ('國會', 30), ('業務', 30), ('工作', 30), ('會議', 28), ('陸委會', 28), ('事實', 28), ('行動', 27), ('文化', 27), ('桃園', 27), ('委員', 27), ('政策', 27), ('中共', 27), ('市政', 26), ('規定', 26), ('媒體', 26), ('委員會', 25), ('學生', 25), ('選舉', 24), ('機關', 24), ('鄉親', 24), ('公司', 24), ('傅崐萁', 24), ('國安局', 23), ('賴士葆', 23), ('地區', 22), ('業者', 22), ('資料', 21), ('柯文哲', 21), ('韌性', 21), ('措施', 21), ('羅智強', 21), ('案件', 20), ('臉書', 20), ('人士', 20), ('意見', 20), ('期間', 20), ('民眾黨', 20), ('我國', 20), ('亞亞', 20), ('內政部', 20), ('公務員', 20), ('戰爭', 19), ('時間', 19), ('發言人', 19), ('司法', 19), ('人數', 19), ('戶籍', 19), ('方式', 19), ('作業', 19), ('主任', 19), ('市場', 19), ('證明', 19), ('網路', 18), ('身分', 18), ('單位', 18)]"
社會,"[('警方', 173), ('民眾', 72), ('男子', 63), ('現場', 55), ('員警', 49), ('地檢署', 48), ('法官', 42), ('陳男', 42), ('人員', 42), ('家屬', 40), ('女子', 35), ('公司', 35), ('記者', 35), ('台中', 33), ('法院', 32), ('號碼', 32), ('科長', 31), ('原因', 30), ('派出所', 30), ('毒品', 30), ('台灣', 29), ('高雄', 28), ('分局', 28), ('中心', 28), ('集團', 28), ('檢方', 27), ('李男', 26), ('調查處', 26), ('醫院', 25), ('台北', 25), ('卓男', 25), ('機車', 24), ('車手', 24), ('警局', 24), ('警察', 24), ('副主任', 24), ('桃園市', 23), ('警分局', 23), ('交通', 23), ('超商', 23), ('陳姓', 22), ('徒刑', 22), ('行為', 21), ('檢察官', 21), ('王男', 21), ('桃園', 20), ('事故', 20), ('被害人', 20), ('死者', 20), ('車輛', 20), ('騎士', 20), ('方式', 19), ('罪嫌', 19), ('調查站', 19), ('中壢', 19), ('轎車', 18), ('地院', 18), ('台中市', 18), ('銀行', 18), ('條例', 18), ('車牌', 18), ('鄰居', 18), ('婦人', 17), ('兒子', 17), ('時間', 17), ('社會', 17), ('網站', 17), ('林女', 17), ('國道', 17), ('新北市', 16), ('行政', 16), ('警員', 16), ('案件', 16), ('手機', 16), ('地方', 15), ('家人', 15), ('警政署', 15), ('中國', 15), ('附近', 15), ('市府', 14), ('規定', 14), ('單位', 14), ('警察局', 14), ('獎勵金', 14), ('媒體', 14), ('台南', 14), ('比特犬', 14), ('彩券', 14), ('馬男', 14), ('大生', 14), ('衝突', 13), ('精神', 13), ('小時', 13), ('資料', 13), ('張安樂', 13), ('轄區', 13), ('期間', 13), ('大隊', 13), ('飲料', 13), ('高雄市', 13)]"
生活,"[('民眾', 54), ('計畫', 47), ('學生', 46), ('地區', 45), ('學校', 44), ('環境', 44), ('公司', 42), ('市場', 42), ('經費', 40), ('記者', 37), ('道路', 37), ('活動', 36), ('家長', 36), ('國小', 36), ('業者', 34), ('台灣', 33), ('工程', 32), ('中央', 30), ('市府', 30), ('交通', 28), ('政府', 27), ('孩子', 27), ('縣府', 27), ('天氣', 23), ('風機', 22), ('行人', 22), ('農場', 22), ('土地', 21), ('預算', 21), ('彰化', 21), ('大學', 20), ('科技', 20), ('時間', 20), ('狀況', 20), ('中心', 20), ('社會', 20), ('單位', 19), ('生活', 19), ('周邊', 19), ('國中', 18), ('老師', 18), ('農業', 18), ('美國', 18), ('楊子賢', 18), ('規定', 17), ('國際', 17), ('公園', 17), ('台北市', 17), ('公車', 17), ('包裝廠', 17), ('作業', 16), ('品質', 16), ('桃園', 16), ('智慧', 15), ('國家', 15), ('方式', 15), ('居民', 15), ('嘉義', 15), ('台中', 15), ('玉山', 15), ('步道', 15), ('小時', 14), ('工作', 14), ('路線', 14), ('課程', 14), ('教育', 14), ('青年', 14), ('高雄', 14), ('犬隻', 14), ('交通局', 14), ('日本', 14), ('關稅', 14), ('蔬菜', 14), ('台北', 13), ('乘客', 13), ('新北市', 13), ('地方', 13), ('文化', 13), ('全國賽', 13), ('車輛', 13), ('資訊', 12), ('現場', 12), ('人潮', 12), ('空間', 12), ('技術', 12), ('期間', 12), ('資料', 12), ('區域', 12), ('問題', 12), ('基地', 12), ('遊戲', 12), ('武淵', 12), ('比賽', 12), ('設施', 12), ('玉管處', 12), ('毛毛蟲', 12), ('合唱團', 12), ('東京', 12), ('漁港', 12), ('校長', 11)]"
國際,"[('美國', 271), ('中國', 216), ('川普', 169), ('關稅', 121), ('總統', 105), ('政府', 86), ('國家', 70), ('日本', 69), ('台灣', 45), ('活動', 39), ('俄羅斯', 39), ('公司', 39), ('時間', 37), ('政策', 36), ('全球', 36), ('白宮', 35), ('媒體', 34), ('尹錫悅', 34), ('行動', 30), ('經濟', 30), ('男子', 29), ('消息', 29), ('烏克蘭', 29), ('南韓', 28), ('新台幣', 28), ('協議', 28), ('平台', 28), ('貿易', 28), ('伊朗', 28), ('事件', 27), ('計畫', 27), ('網友', 27), ('記者', 26), ('政治', 26), ('團隊', 26), ('東京', 26), ('以色列', 25), ('北京', 25), ('人士', 24), ('關係', 24), ('機場', 24), ('航空', 24), ('組織', 23), ('事故', 23), ('國際', 23), ('問題', 22), ('軍事', 22), ('官員', 22), ('社群', 22), ('專家', 22), ('行為', 21), ('顧問', 21), ('聯邦', 21), ('企業', 21), ('民眾', 20), ('法國', 20), ('小時', 20), ('大學', 20), ('普廷', 20), ('人員', 20), ('公民', 20), ('基地', 20), ('法院', 19), ('生活', 19), ('外媒', 18), ('附近', 18), ('居民', 18), ('立場', 18), ('命令', 18), ('聲明', 18), ('納瓦羅', 18), ('當地', 17), ('世界', 17), ('戰略', 17), ('俄國', 17), ('地區', 17), ('集團', 17), ('高層', 16), ('木星', 16), ('巴勒斯坦', 16), ('美軍', 16), ('戰爭', 16), ('法案', 16), ('影片', 16), ('警方', 16), ('澳洲', 15), ('當局', 15), ('區域', 15), ('歐洲', 15), ('家人', 15), ('產品', 15), ('巴拿馬', 15), ('商品', 15), ('國會', 14), ('過程', 14), ('外國', 14), ('法律', 14), ('美聯社', 14), ('機構', 14), ('報告', 14)]"
蒐集,"[('網友', 68), ('飼主', 54), ('動物', 42), ('日本', 28), ('影片', 28), ('電話', 28), ('平台', 27), ('旅館', 27), ('玉米', 24), ('冰箱', 24), ('醫院', 24), ('馬桶', 24), ('浴室', 21), ('馬拉奇', 21), ('社群', 20), ('男性', 20), ('男子', 18), ('房間', 18), ('蔬菜', 18), ('畫面', 17), ('照片', 17), ('美國', 17), ('方式', 16), ('樂器', 16), ('海龜', 16), ('過程', 15), ('羊駝', 14), ('小時', 13), ('法律', 13), ('汽車', 12), ('鱷魚', 12), ('沃利', 12), ('狗狗', 12), ('查理', 12), ('火車', 11), ('樂團', 11), ('世界', 11), ('人員', 11), ('員工', 11), ('問題', 11), ('時間', 10), ('地方', 10), ('龍涎香', 10), ('行為', 10), ('英國', 9), ('新台幣', 9), ('工作', 9), ('網路', 9), ('當地', 9), ('中國', 9), ('文玩', 9), ('文玩玉米', 9), ('外媒', 9), ('寵物', 9), ('舉動', 9), ('大阪', 9), ('商務', 9), ('樓梯', 9), ('村田らむ', 9), ('塑膠袋', 9), ('燒肉店', 9), ('性別', 9), ('兒子', 9), ('生理', 9), ('保育員', 9), ('安養院', 8), ('蓋瑞', 8), ('警方', 8), ('柯基', 8), ('調皮', 8), ('緬因州', 8), ('拉格蘭奇', 8), ('馬兒', 8), ('消防局', 8), ('獸醫', 8), ('傳說', 8), ('澳洲', 8), ('神情', 7), ('位置', 7), ('故事', 7), ('時候', 7), ('場景', 7), ('家人', 7), ('東西', 6), ('中心', 6), ('院方', 6), ('金氏', 6), ('紀錄', 6), ('臉書', 6), ('玉石', 6), ('色澤', 6), ('銷量', 6), ('物品', 6), ('期間', 6), ('態度', 6), ('國外', 6), ('排泄物', 6), ('蠟紙', 6), ('灰燼', 6), ('作家', 6)]"
全部,"[('台灣', 391), ('美國', 368), ('中國', 360), ('民眾', 214), ('政府', 212), ('警方', 212), ('關稅', 195), ('川普', 190), ('國家', 163), ('總統', 151), ('立委', 149), ('活動', 143), ('公司', 143), ('記者', 138), ('日本', 126), ('網友', 125), ('人員', 118), ('男子', 110), ('政治', 106), ('時間', 103), ('社會', 101), ('現場', 98), ('國際', 97), ('市府', 95), ('國民黨', 94), ('民進黨', 91), ('地區', 89), ('產業', 89), ('計畫', 89), ('中央', 87), ('問題', 84), ('團隊', 83), ('中心', 80), ('學生', 80), ('地方', 77), ('醫院', 77), ('方式', 77), ('媒體', 76), ('行為', 76), ('台北', 74), ('政策', 74), ('花蓮', 73), ('業者', 71), ('議員', 71), ('市場', 71), ('工作', 69), ('行政', 67), ('法律', 66), ('交通', 66), ('平台', 66), ('飼主', 66), ('規定', 65), ('動物', 65), ('預算', 64), ('法院', 64), ('行動', 63), ('期間', 63), ('桃園', 63), ('大學', 63), ('學校', 63), ('小時', 62), ('社群', 62), ('環境', 62), ('經濟', 61), ('影片', 61), ('狀況', 60), ('單位', 59), ('公民', 59), ('人民', 59), ('連署書', 58), ('報告', 57), ('全球', 57), ('高雄', 56), ('地檢署', 56), ('台中', 56), ('資料', 55), ('立法院', 55), ('蔣萬安', 53), ('法官', 53), ('道路', 52), ('孩子', 52), ('經費', 51), ('網路', 51), ('生活', 51), ('事件', 51), ('階段', 51), ('附近', 51), ('員警', 51), ('工程', 50), ('過程', 50), ('志工', 50), ('家屬', 50), ('原因', 50), ('議題', 49), ('科技', 49), ('文化', 48), ('關係', 48), ('人士', 47), ('電話', 47), ('團體', 47)]"
